QKEY,INTERVIEW_START_W149,INTERVIEW_END_W149,DEVICE_TYPE_W149,SVYMODE_W149,LANG_W149,FORM_W149,X_KIDS1,X_KIDS2,SATIS_W149,POL1JB_W149,POL1JBSTR_W149,CAMPNII_W149,PRZCMPGN_W149,MATTERS_W149,VOTEGEN24_W149,VOTEGEN24_LEAN_W149,VOTEGEN2_TRUMP_W149,VOTEGEN2_BIDEN_W149,VOTEGEN2_KENNEDY_W149,VOTESTRONG_W149,VOTEGEN24_TWO_W149,SATISPRESCAND_W149,EMTPRESTRUMP_W149,EMTPRESBIDEN_W149,CMPGNTRAIT_PROUD_W149,CMPGNTRAIT_NEG_W149,CMPGNTRAIT_POLCY_W149,ELECT_CONF_A_W149,ELECT_CONF_B_W149,TRUMPISSUE1_W149,TRUMPISSUE2_W149,BIDENISSUE1_W149,BIDENISSUE2_W149,INSTFAV_CONG_W149,INSTFAV_COURT_W149,INSTFAV_REP_W149,INSTFAV_DEM_W149,DTCONF_FRGN_W149,DTCONF_SCT_W149,DTCONF_WRK_W149,DTCONF_ECON_W149,DTCONF_IMMI_W149,DTCONF_ABCN_W149,JBCONF_FRGN_W149,JBCONF_SCT_W149,JBCONF_WRK_W149,JBCONF_ECON_W149,JBCONF_IMMI_W149,JBCONF_ABCN_W149,TRUMPDESC_HNST_W149,TRUMPDESC_ORD_W149,TRUMPDESC_MNSHRP_W149,TRUMPDESC_MEAN_W149,TRUMPDESC_EMB_W149,BIDENDESC_HNST_W149,BIDENDESC_ORD_W149,BIDENDESC_MNSHRP_W149,BIDENDESC_MEAN_W149,BIDENDESC_EMB_W149,FREETRADEUS_W149,AGNCYFAV_FBI_W149,AGNCYFAV_CIA_W149,AGNCYFAV_CDC_W149,AGNCYFAV_SSA_W149,AGNCYFAV_FED_W149,AGNCYFAV_NPS_W149,AGNCYFAV_ED_W149,AGNCYFAV_TRANS_W149,AGNCYFAV_JSTCE_W149,AGNCYFAV_IRS_W149,AGNCYFAV_EPA_W149,AGNCYFAV_NASA_W149,AGNCYFAV_VA_W149,AGNCYFAV_USPS_W149,AGNCYFAV_HHS_W149,AGNCYFAV_HMLND_W149,BILLION_W149,COURTIDEO_W149,COURTPOWER_W149,SCOTUS_PRTSN_W149,SCOTUS_JOB_W149,JB_FP_CH_W149,JB_FP_ISHM_W149,JB_FP_ENR_W149,JB_FP_WRK_W149,JB_FP_NK_W149,JB_FP_IRN_W149,JB_FP_UKR_W149,DT_FP_CH_W149,DT_FP_ISHM_W149,DT_FP_ENR_W149,DT_FP_WRK_W149,DT_FP_NK_W149,DT_FP_IRN_W149,DT_FP_UKR_W149,UKRFOL_W149,UKR_SPRT_W149,RU_UKN_THRT2_W149,USUK_RESP_W149,UA_APPDIS_SANC_W149,UA_APPDIS_MIL_W149,UA_APPDIS_STRIK_W149,UA_CONC_WARRS_W149,UA_CONC_DFT_W149,UA_CONC_MREYR_W149,UA_CONC_INVD_W149,UA_PROG_W149,DEMCARE_W149,DEMEARN_W149,REPCARE_W149,REPEARN_W149,ISGZ_FOL_W149,BIDEN_FAVORISRPAL_W149,TRUMP_FAVORISRPAL_W149,PF_HAPPEN_MED_W149,PF_HAPPEN_HOU_W149,PF_HAPPEN_LOSE_W149,PF_HAPPEN_RAISE_W149,PF_HAPPEN_SAVE_W149,PF_HAPPEN_FOOD_W149,PF_HAPPEN_CHILD_W149,VOTE_MOTIV_W149,VOTEHOW_W149,RPLC_W149,LIVSTAN_W149,LIVSTAN2_W149,HORSE_W149,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W149
100314,02-Jul-2024 18:34:44,02-Jul-2024 18:47:49,1,1,9,1,2,2,2,2,1,,2,1,1,,1,,,1,,2,,,2,1,2,4,2,1,2,4,3,3,2,1,4,1,1,1,1,1,1,4,4,4,4,4,4,,,,,,,,,,,1,2,5,2,1,5,1,2,2,,,,,,,,,3,2,,2,2,4,4,4,4,,,,1,1,1,99,,,,2,1,3,2,5,4,4,,,,,5,4,3,1,1,3,4,3,2,2,2,2,1,2,2,1,1,3,3,,1,2,2,3,3,4,1,2,3,2,,1,1,1,1,1,1,2,1,5,1,,1,,1,2,1,7,3,2,1,2,0.37960154673197827
100363,02-Jul-2024 18:32:00,02-Jul-2024 19:35:07,1,1,9,1,1,2,2,2,2,,1,1,2,,,1,,2,,4,,,2,1,2,1,1,3,3,3,1,3,4,3,3,4,4,4,4,4,4,2,2,2,3,3,2,,,,,,,,,,,1,2,2,2,2,2,2,3,2,,,,,,,,,2,1,,2,4,2,3,2,2,,,,4,4,4,4,,,,4,3,2,1,1,2,2,,,,,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,1,1,5,5,2,1,1,2,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,4,2,,2,,2,4,1,9,4,2,1,2,0.6012026744699619
100637,04-Jul-2024  09:55:29,04-Jul-2024 10:04:44,3,1,9,2,2,1,2,2,1,1,,1,1,,1,,,1,,,1,4,2,2,1,4,4,1,1,4,3,4,3,2,4,,,,,,,,,,,,,2,1,1,4,4,4,4,4,1,1,1,,,,,,,,,4,4,4,3,2,2,4,5,3,,2,2,3,,,,,4,4,4,,,,,1,1,1,4,1,4,2,,,,2,5,4,5,5,5,5,3,4,3,2,1,2,2,2,2,2,2,2,1,1,4,2,7,1,1,3,5,3,4,2,2,4,2,,1,1,1,1,1,1,1,1,1,3,1,,3,1,1,1,3,1,2,2,1,0.6615186994864991
100803,02-Jul-2024 18:42:03,02-Jul-2024 18:50:47,3,1,9,1,2,2,2,2,1,,2,1,1,,2,,,2,,3,,,2,1,2,1,2,2,3,4,3,3,2,2,3,1,1,3,2,2,1,3,3,4,3,4,4,,,,,,,,,,,1,1,2,2,2,2,1,2,2,,,,,,,,,3,2,,2,1,3,3,3,3,,,,1,2,2,1,,,,3,3,2,1,1,2,2,,,,,3,3,3,2,2,4,2,3,2,2,2,2,1,2,2,2,1,1,4,,1,2,2,4,3,4,2,1,5,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,9,2,4,1,3,0.4246132321493478
101437,03-Jul-2024 18:01:57,03-Jul-2024 18:20:24,3,1,9,1,2,2,2,2,1,,1,1,1,,1,,,1,,2,,,1,2,1,4,1,1,1,4,3,3,2,2,3,1,1,1,1,1,1,4,4,4,4,4,4,,,,,,,,,,,1,4,4,4,2,4,2,4,4,,,,,,,,,3,2,,2,2,4,4,4,4,,,,1,1,1,1,,,,2,1,3,2,3,4,3,,,,,5,5,5,4,4,1,2,3,2,2,2,2,2,2,2,1,1,3,2,,1,2,2,4,3,4,2,2,4,2,,1,1,1,1,3,1,1,1,2,1,,2,,1,1,1,2,2,2,2,2,0.5666089832124429
102198,05-Jul-2024  05:36:54,05-Jul-2024  05:42:40,1,1,9,1,2,2,2,2,1,,2,1,1,,1,,,2,,4,,,2,1,2,3,2,3,3,4,3,3,2,2,4,4,2,4,2,3,1,4,4,3,4,4,4,,,,,,,,,,,1,3,3,5,5,3,2,4,3,,,,,,,,,1,1,,2,1,3,3,3,2,,,,2,3,4,3,,,,5,4,3,2,2,5,2,,,,,3,5,3,3,4,5,3,1,2,1,2,1,2,2,2,1,1,1,4,,1,1,1,2,2,1,2,1,6,2,,1,1,1,1,6,1,1,1,2,1,,1,,1,1,1,1,2,1,1,1,0.7350731848198859
103060,02-Jul-2024 18:49:03,02-Jul-2024 23:48:04,1,1,9,1,2,2,2,2,1,,2,1,2,,,1,,2,,4,,,2,1,2,1,3,2,3,2,1,2,3,4,3,4,4,3,2,4,99,2,1,1,2,3,1,,,,,,,,,,,1,5,5,2,2,4,5,4,4,,,,,,,,,3,1,,2,4,4,4,4,4,,,,2,4,99,4,,,,2,2,1,1,1,1,1,,,,,3,1,1,3,1,3,1,1,2,2,2,2,2,2,2,1,3,1,1,,2,1,3,5,2,4,2,2,4,2,,1,1,1,1,1,12,,3,6,2,,1,,2,4,1,8,4,2,2,2,0.5509255860904163
103379,04-Jul-2024 14:25:06,05-Jul-2024  09:39:22,3,1,9,1,2,1,2,2,1,,1,1,1,,1,,,1,,1,,,2,1,2,4,3,1,2,4,3,4,2,1,4,1,1,3,1,1,1,4,4,4,4,4,4,,,,,,,,,,,1,3,4,4,2,4,2,4,4,,,,,,,,,1,1,,2,2,4,4,4,4,,,,1,1,1,2,,,,2,3,2,2,1,2,2,,,,,3,5,5,3,3,3,2,3,2,2,2,2,1,2,2,1,1,4,1,2,1,1,3,5,2,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,9,1,5,2,3,1.6586046321434593
103519,02-Jul-2024 22:11:20,02-Jul-2024 22:27:32,3,1,9,2,2,1,2,1,1,1,,1,2,,,1,,2,,,4,2,2,1,2,2,2,3,3,2,1,4,3,4,2,,,,,,,,,,,,,4,4,2,1,1,2,2,2,4,3,1,,,,,,,,,2,2,1,5,2,2,1,2,2,,1,2,4,,,,,1,2,1,,,,,3,3,3,1,3,2,1,,,,4,1,3,2,4,3,3,3,3,1,3,4,2,2,2,2,1,2,2,1,2,1,3,4,2,,4,9,2,4,1,1,6,2,,1,1,1,1,1,10,,3,6,3,2,,3,2,3,1,9,3,1,2,99,0.32008728842537304
103538,03-Jul-2024 17:02:30,03-Jul-2024 17:23:12,3,1,9,1,2,2,1,1,2,,2,1,2,,,1,,2,,3,,,2,2,2,1,2,4,3,2,2,3,4,4,2,4,4,4,4,4,4,1,1,2,1,2,1,,,,,,,,,,,2,2,2,1,2,1,1,3,2,,,,,,,,,3,1,,2,4,3,2,2,2,,,,4,4,4,4,,,,2,2,1,2,1,1,1,,,,,3,3,3,5,5,2,3,4,2,2,2,2,1,2,2,1,2,1,1,,2,1,4,8,3,4,1,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,,3,2,3,1,9,3,2,2,3,0.46315577399240115
